id,is_premium,title,topic_tags,difficulty,similar_questions,problem_URL
1,False,1. Two Sum,"'Array', 'Hash Table'",Easy,"[""'3Sum'"", ""'4Sum'"", ""'Two Sum II - Input Array Is Sorted'"", ""'Two Sum III - Data structure design'"", ""'Subarray Sum Equals K'"", ""'Two Sum IV - Input is a BST'"", ""'Two Sum Less Than K'"", ""'Max Number of K-Sum Pairs'"", ""'Count Good Meals'"", ""'Count Number of Pairs With Absolute Difference K'"", ""'Number of Pairs of Strings With Concatenation Equal to Target'"", ""'Find All K-Distant Indices in an Array'"", ""'First Letter to Appear Twice'"", ""'Number of Excellent Pairs'"", ""'Number of Arithmetic Triplets'"", ""'Node With Highest Edge Score'"", ""'Check Distances Between Same Letters'"", ""'Find Subarrays With Equal Sum'"", ""'Largest Positive Integer That Exists With Its Negative'"", ""'Number of Distinct Averages'"", ""'Count Pairs Whose Sum is Less than Target'""]",https://leetcode.com/problems/two-sum
2,False,2. Add Two Numbers,"'Linked List', 'Math', 'Recursion'",Medium,"[""'Multiply Strings'"", ""'Add Binary'"", ""'Sum of Two Integers'"", ""'Add Strings'"", ""'Add Two Numbers II'"", ""'Add to Array-Form of Integer'"", ""'Add Two Polynomials Represented as Linked Lists'"", ""'Double a Number Represented as a Linked List'""]",https://leetcode.com/problems/add-two-numbers
3,False,3. Longest Substring Without Repeating Characters,"'Hash Table', 'String', 'Sliding Window'",Medium,"[""'Longest Substring with At Most Two Distinct Characters'"", ""'Longest Substring with At Most K Distinct Characters'"", ""'Subarrays with K Different Integers'"", ""'Maximum Erasure Value'"", ""'Number of Equal Count Substrings'"", ""'Minimum Consecutive Cards to Pick Up'"", ""'Longest Nice Subarray'"", ""'Optimal Partition of String'"", ""'Count Complete Subarrays in an Array'""]",https://leetcode.com/problems/longest-substring-without-repeating-characters
4,False,4. Median of Two Sorted Arrays,"'Array', 'Binary Search', 'Divide and Conquer'",Hard,"[""'Median of a Row Wise Sorted Matrix'""]",https://leetcode.com/problems/median-of-two-sorted-arrays
5,False,5. Longest Palindromic Substring,"'String', 'Dynamic Programming'",Medium,"[""'Shortest Palindrome'"", ""'Palindrome Permutation'"", ""'Palindrome Pairs'"", ""'Longest Palindromic Subsequence'"", ""'Palindromic Substrings'"", ""'Maximum Number of Non-overlapping Palindrome Substrings'""]",https://leetcode.com/problems/longest-palindromic-substring
6,False,6. Zigzag Conversion,'String',Medium,[''],https://leetcode.com/problems/zigzag-conversion
7,False,7. Reverse Integer,'Math',Medium,"[""'String to Integer (atoi)'"", ""'Reverse Bits'"", ""'A Number After a Double Reversal'"", ""'Count Number of Distinct Integers After Reverse Operations'""]",https://leetcode.com/problems/reverse-integer
8,False,8. String to Integer (atoi),'String',Medium,"[""'Reverse Integer'"", ""'Valid Number'"", ""'Check if Numbers Are Ascending in a Sentence'""]",https://leetcode.com/problems/string-to-integer-atoi
9,False,9. Palindrome Number,'Math',Easy,"[""'Palindrome Linked List'"", ""'Find Palindrome With Fixed Length'"", ""'Strictly Palindromic Number'"", ""'  Count Symmetric Integers'""]",https://leetcode.com/problems/palindrome-number
10,False,10. Regular Expression Matching,"'String', 'Dynamic Programming', 'Recursion'",Hard,"[""'Wildcard Matching'""]",https://leetcode.com/problems/regular-expression-matching
11,False,11. Container With Most Water,"'Array', 'Two Pointers', 'Greedy'",Medium,"[""'Trapping Rain Water'"", ""'Maximum Tastiness of Candy Basket'"", ""'House Robber IV'""]",https://leetcode.com/problems/container-with-most-water
12,False,12. Integer to Roman,"'Hash Table', 'Math', 'String'",Medium,"[""'Roman to Integer'"", ""'Integer to English Words'""]",https://leetcode.com/problems/integer-to-roman
13,False,13. Roman to Integer,"'Hash Table', 'Math', 'String'",Easy,"[""'Integer to Roman'""]",https://leetcode.com/problems/roman-to-integer
14,False,14. Longest Common Prefix,"'String', 'Trie'",Easy,[''],https://leetcode.com/problems/longest-common-prefix
15,False,15. 3Sum,"'Array', 'Two Pointers', 'Sorting'",Medium,"[""'Two Sum'"", ""'3Sum Closest'"", ""'4Sum'"", ""'3Sum Smaller'"", ""'Number of Arithmetic Triplets'"", ""'Minimum Sum of Mountain Triplets I'"", ""'Minimum Sum of Mountain Triplets II'""]",https://leetcode.com/problems/3sum
16,False,16. 3Sum Closest,"'Array', 'Two Pointers', 'Sorting'",Medium,"[""'3Sum'"", ""'3Sum Smaller'""]",https://leetcode.com/problems/3sum-closest
17,False,17. Letter Combinations of a Phone Number,"'Hash Table', 'String', 'Backtracking'",Medium,"[""'Generate Parentheses'"", ""'Combination Sum'"", ""'Binary Watch'"", ""'Count Number of Texts'""]",https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,False,18. 4Sum,"'Array', 'Two Pointers', 'Sorting'",Medium,"[""'Two Sum'"", ""'3Sum'"", ""'4Sum II'"", ""'Count Special Quadruplets'""]",https://leetcode.com/problems/4sum
19,False,19. Remove Nth Node From End of List,"'Linked List', 'Two Pointers'",Medium,"[""'Swapping Nodes in a Linked List'"", ""'Delete N Nodes After M Nodes of a Linked List'"", ""'Delete the Middle Node of a Linked List'""]",https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,False,20. Valid Parentheses,"'String', 'Stack'",Easy,"[""'Generate Parentheses'"", ""'Longest Valid Parentheses'"", ""'Remove Invalid Parentheses'"", ""'Check If Word Is Valid After Substitutions'"", ""'Check if a Parentheses String Can Be Valid'"", ""'Move Pieces to Obtain a String'""]",https://leetcode.com/problems/valid-parentheses
21,False,21. Merge Two Sorted Lists,"'Linked List', 'Recursion'",Easy,"[""'Merge k Sorted Lists'"", ""'Merge Sorted Array'"", ""'Sort List'"", ""'Shortest Word Distance II'"", ""'Add Two Polynomials Represented as Linked Lists'"", ""'Longest Common Subsequence Between Sorted Arrays'"", ""'Merge Two 2D Arrays by Summing Values'""]",https://leetcode.com/problems/merge-two-sorted-lists
22,False,22. Generate Parentheses,"'String', 'Dynamic Programming', 'Backtracking'",Medium,"[""'Letter Combinations of a Phone Number'"", ""'Valid Parentheses'"", ""'Check if a Parentheses String Can Be Valid'""]",https://leetcode.com/problems/generate-parentheses
23,False,23. Merge k Sorted Lists,"'Linked List', 'Divide and Conquer', 'Heap (Priority Queue)', 'Merge Sort'",Hard,"[""'Merge Two Sorted Lists'"", ""'Ugly Number II'"", ""'Smallest Subarrays With Maximum Bitwise OR'""]",https://leetcode.com/problems/merge-k-sorted-lists
24,False,24. Swap Nodes in Pairs,"'Linked List', 'Recursion'",Medium,"[""'Reverse Nodes in k-Group'"", ""'Swapping Nodes in a Linked List'""]",https://leetcode.com/problems/swap-nodes-in-pairs
25,False,25. Reverse Nodes in k-Group,"'Linked List', 'Recursion'",Hard,"[""'Swap Nodes in Pairs'"", ""'Swapping Nodes in a Linked List'"", ""'Reverse Nodes in Even Length Groups'""]",https://leetcode.com/problems/reverse-nodes-in-k-group
